length,based_on,box_office,budget,cinematography,country,director,distributor,editor,language,music,narration,producer,screenplay,starring,story,written_by,site,title,studio,revenues,check_rev,costs,check_costs,release_dates,release_year,release_month,release_day,stars_list,directors_list
",79800000,<type 'float'>,23000000,<type 'float'>,[2015-01-16 00:00:00],2015,1,16-Jan,"[[, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ], [, , , Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Alan Ritchson, Cloris Leachman, Mimi Rogers, Olivia Thirlby, , , ]]",[[Jeremy Garelick]]

,Veronika Decides to Die by Paulo Coelho,"$1,369,647 (foreign)[4]",,,United States,Emily Young,First Look International[2] Entertainment One Films[3],,English,Murray Gold[1],Sarah Michelle Gellar,Sriram Das,,"Sarah Michelle Gellar
Jonathan Tucker
Erika Christensen
Melissa Leo
David Thewlis",,"Paulo Coelho (book)
Larry Gross",https://en.wikipedia.org/wiki/Veronika_Decides_to_Die_(film),Veronika Decides to Die,,1369647,<type 'float'>,,,"[2009-08-21 00:00:00, 2015-01-20 00:00:00]",2015,1,20-Jan,"[[Sarah Michelle Gellar, Jonathan Tucker, Erika Christensen, Melissa Leo, David Thewlis], [Sarah Michelle Gellar, Jonathan Tucker, Erika Christensen, Melissa Leo, David Thewlis], [Sarah Michelle Gellar, Jonathan Tucker, Erika Christensen, Melissa Leo, David Thewlis], [Sarah Michelle Gellar, Jonathan Tucker, Erika Christensen, Melissa Leo, David Thewlis], [Sarah Michelle Gellar, Jonathan Tucker, Erika Christensen, Melissa Leo, David Thewlis]]",[[Emily Young]]

90 minutes[1],,$61.8Â million[4][3],$4Â million[2][3],Dave McFarland,United States,Rob Cohen,Universal Pictures,Michel Aller,English,"


Randy Edelman
Nathan Barr


",,"


Jason Blum
John Jacobs
Elaine Goldsmith-Thomas
Benny Medina
Jennifer Lopez


",,"


Jennifer Lopez
Ryan Guzman
John Corbett
Ian Nelson
Kristin Chenoweth


",,Barbara Curry,https://en.wikipedia.org/wiki/The_Boy_Next_Door_(film),The Boy Next Door,"



Blumhouse Productions
Smart Entertainment
Nuyorican Productions



",61800000,<type 'float'>,4000000,<type 'float'>,[2015-01-23 00:00:00],2015,1,23-Jan,"[[, , , Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth, , , ], [, , , Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth, , , ], [, , , Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth, , , ], [, , , Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth, , , ], [, , , Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth, , , ], [, , , Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth, , , ], [, , , Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth, , , ], [, , , Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth, , , ], [, , , Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth, , , ], [, , , Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth, , , ], [, , , Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth, , , ]]",[[Rob Cohen]]

102 minutes[4],,$2.9 million[6],$7â€“10 million[5],Rachel Morrison,United States,Daniel Barnz,"Cinelou Releasing, Freestyle Releasing[1]",Kristina Boden,English,Christophe Beck,,"Ben Barnz
Jennifer Aniston
Kristin Hahn
Courtney Solomon
Mark Canton",,"Jennifer Aniston
Adriana Barraza
Mamie Gummer
Felicity Huffman
William H. Macy
Chris Messina
Lucy Punch
Britt Robertson
Anna Kendrick
Sam Worthington",,Patrick Tobin,https://en.wikipedia.org/wiki/Cake_(2014_film),Cake,"
After Dark Films
Echo Films
Cinelou Films
",2900000,<type 'float'>,7000000,<type 'float'>,"[2014-09-08 00:00:00, 2014-12-31 00:00:00]",2014,12,31-Dec,"[[Jennifer Aniston, Adriana Barraza, Mamie Gummer, Felicity Huffman, William H. Macy, Chris Messina, Lucy Punch, Britt Robertson, Anna Kendrick, Sam Worthington], [Jennifer Aniston, Adriana Barraza, Mamie Gummer, Felicity Huffman, William H. Macy, Chris Messina, Lucy Punch, Britt Robertson, Anna Kendrick, Sam Worthington], [Jennifer Aniston, Adriana Barraza, Mamie Gummer, Felicity Huffman, William H. Macy, Chris Messina, Lucy Punch, Britt Robertson, Anna Kendrick, Sam Worthington], [Jennifer Aniston, Adriana Barraza, Mamie Gummer, Felicity Huffman, William H. Macy, Chris Messina, Lucy Punch, Britt Robertson, Anna Kendrick, Sam Worthington], [Jennifer Aniston, Adriana Barraza, Mamie Gummer, Felicity Huffman, William H. Macy, Chris Messina, Lucy Punch, Britt Robertson, Anna Kendrick, Sam Worthington], [Jennifer Aniston, Adriana Barraza, Mamie Gummer, Felicity Huffman, William H. Macy, Chris Messina, Lucy Punch, Britt Robertson, Anna Kendrick, Sam Worthington], [Jennifer Aniston, Adriana Barraza, Mamie Gummer, Felicity Huffman, William H. Macy, Chris Messina, Lucy Punch, Britt Robertson, Anna Kendrick, Sam Worthington], [Jennifer Aniston, Adriana Barraza, Mamie Gummer, Felicity Huffman, William H. Macy, Chris Messina, Lucy Punch, Britt Robertson, Anna Kendrick, Sam Worthington], [Jennifer Aniston, Adriana Barraza, Mamie Gummer, Felicity Huffman, William H. Macy, Chris Messina, Lucy Punch, Britt Robertson, Anna Kendrick, Sam Worthington], [Jennifer Aniston, Adriana Barraza, Mamie Gummer, Felicity Huffman, William H. Macy, Chris Messina, Lucy Punch, Britt Robertson, Anna Kendrick, Sam Worthington]]",[[Daniel Barnz]]

106 minutes[1],"Don't Point that Thing at Me
by Kyril Bonfiglioli",$47.3 million[3],$60 million[2],Florian Hoffmeister,United States,David Koepp,Lionsgate,"


Jill Savitt
Derek Ambrosi


",English,"


Geoff Zanelli
Mark Ronson


",,"


Andrew Lazar
Johnny Depp
Christi Dembrowski
Patrick McCormick


",Eric Aronson,"


Johnny Depp
Gwyneth Paltrow
Ewan McGregor
Olivia Munn
Jeff Goldblum
Paul Bettany


",,,https://en.wikipedia.org/wiki/Mortdecai_(film),Mortdecai,"



Infinitum Nihil
Mad Chance Productions
Odd Lot Entertainment



",47300000,<type 'float'>,60000000,<type 'float'>,[2015-01-23 00:00:00],2015,1,23-Jan,"[[, , , Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, , , ], [, , , Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, , , ], [, , , Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, , , ], [, , , Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, , , ], [, , , Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, , , ], [, , , Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, , , ], [, , , Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, , , ], [, , , Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, , , ], [, , , Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, , , ], [, , , Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, , , ], [, , , Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, , , ], [, , , Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, , , ]]",[[David Koepp]]

86 minutes,,"$32,251[2]",$6 million[1],John Guleserian,United States,Kate Barker-Froyland,"The Film Arcade
Cinedigm",Madeleine Gavin,English,"Johnathan Rice
Jenny Lewis",,"Marc Platt
Jonathan Demme
Anne Hathaway
Adam Shulman
Christopher Woodrow
Molly Conners",,"Anne Hathaway
Mary Steenburgen
Johnny Flynn",,Kate Barker-Froyland,https://en.wikipedia.org/wiki/Song_One,Song One,"
Worldview Entertainment
Marc Platt Productions
",32251,<type 'float'>,6000000,<type 'float'>,"[2014-01-20 00:00:00, 2015-01-23 00:00:00]",2015,1,23-Jan,"[[Anne Hathaway, Mary Steenburgen, Johnny Flynn], [Anne Hathaway, Mary Steenburgen, Johnny Flynn], [Anne Hathaway, Mary Steenburgen, Johnny Flynn]]",[[Kate Barker-Froyland]]

99 minutes[1][2],,$13.6 million[3],,,United States,Gary Rydstrom,"Walt Disney Studios
Motion Pictures",Chris Plummer,English,Marius de Vries,,"


Sarah McArthur
Mark S. Miller
Kevin Munroe


","


David Berenbaum
Irene Mecchi
Gary Rydstrom


","


Alan Cumming
Evan Rachel Wood
Kristin Chenoweth
Maya Rudolph
Alfred Molina
Sam Palladio


",George Lucas,,https://en.wikipedia.org/wiki/Strange_Magic_(film),Strange Magic,"



Touchstone Pictures
Lucasfilm Ltd.
Lucasfilm Animation
Industrial Light & Magic



",13600000,<type 'float'>,,,[2015-01-23 00:00:00],2015,1,23-Jan,"[[, , , Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Alfred Molina, Sam Palladio, , , ], [, , , Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Alfred Molina, Sam Palladio, , , ], [, , , Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Alfred Molina, Sam Palladio, , , ], [, , , Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Alfred Molina, Sam Palladio, , , ], [, , , Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Alfred Molina, Sam Palladio, , , ], [, , , Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Alfred Molina, Sam Palladio, , , ], [, , , Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Alfred Molina, Sam Palladio, , , ], [, , , Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Alfred Molina, Sam Palladio, , , ], [, , , Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Alfred Molina, Sam Palladio, , , ], [, , , Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Alfred Molina, Sam Palladio, , , ], [, , , Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Alfred Molina, Sam Palladio, , , ], [, , , Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Alfred Molina, Sam Palladio, , , ]]",[[Gary Rydstrom]]

121 minutes,,$21.7 million[2],$9 million[1],Russ T. Alsobrook,United States,Mike Binder,"Relativity Media
IM Global",Roger Nygard,English,Terence Blanchard,,"Kevin Costner
Mike Binder
Todd Lewis",,"Kevin Costner
Octavia Spencer
Jillian Estell
Bill Burr
Jennifer Ehle
Andre Holland
Gillian Jacobs
Anthony Mackie",,Mike Binder,https://en.wikipedia.org/wiki/Black_or_White_(film),Black or White,"
Sunlight Productions
Treehouse Films
Treehouse Productions
Venture Forth
",21700000,<type 'float'>,9000000,<type 'float'>,"[2014-09-06 00:00:00, 2015-01-30 00:00:00]",2015,1,30-Jan,"[[Kevin Costner, Octavia Spencer, Jillian Estell, Bill Burr, Jennifer Ehle, Andre Holland, Gillian Jacobs, Anthony Mackie], [Kevin Costner, Octavia Spencer, Jillian Estell, Bill Burr, Jennifer Ehle, Andre Holland, Gillian Jacobs, Anthony Mackie], [Kevin Costner, Octavia Spencer, Jillian Estell, Bill Burr, Jennifer Ehle, Andre Holland, Gillian Jacobs, Anthony Mackie], [Kevin Costner, Octavia Spencer, Jillian Estell, Bill Burr, Jennifer Ehle, Andre Holland, Gillian Jacobs, Anthony Mackie], [Kevin Costner, Octavia Spencer, Jillian Estell, Bill Burr, Jennifer Ehle, Andre Holland, Gillian Jacobs, Anthony Mackie], [Kevin Costner, Octavia Spencer, Jillian Estell, Bill Burr, Jennifer Ehle, Andre Holland, Gillian Jacobs, Anthony Mackie], [Kevin Costner, Octavia Spencer, Jillian Estell, Bill Burr, Jennifer Ehle, Andre Holland, Gillian Jacobs, Anthony Mackie], [Kevin Costner, Octavia Spencer, Jillian Estell, Bill Burr, Jennifer Ehle, Andre Holland, Gillian Jacobs, Anthony Mackie]]",[[Mike Binder]]

103 minutes,"
Loft
by


Erik Van Looy
Bart De Pauw



",$10.1 million[2],$14 million[1],Nicolas Karakatsanis,"


United States
Belgium


",Erik Van Looy,"


Open Road Films (US)
Kinepolis Film Distribution (Belgium)


",Eddie Hamilton,English,John Frizzell,,"


Hilde De Laere
Matt DeRoss
Steve Golin
Paul Green
Adam Shulman


","


Bart De Pauw
Wesley Strick


","


Karl Urban
James Marsden
Wentworth Miller
Eric Stonestreet
Matthias Schoenaerts
Rhona Mitra
Rachael Taylor
Isabel Lucas


",Bart De Pauw,,https://en.wikipedia.org/wiki/The_Loft_(film),The Loft,"



Anonymous Content
Woestijnvis



",10100000,<type 'float'>,14000000,<type 'float'>,"[2014-10-14 00:00:00, 2014-10-15 00:00:00, 2015-01-30 00:00:00]",2015,1,30-Jan,"[[, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ], [, , , Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Rhona Mitra, Rachael Taylor, Isabel Lucas, , , ]]",[[Erik Van Looy]]

106 minutes[1],,$33.2 million[3],$12 million[2],Matthew J Lloyd,United States,Dean Israelite,Paramount Pictures,"Julian Clarke
Martin Bernfeld",English,,,"Andrew Form
Bradley Fuller
Michael Bay",,"Jonny Weston
Sofia Black D'Elia
Sam Lerner
Allen Evangelista
Virginia Gardner
Amy Landecker",,"Jason Harry Pagan
Andrew Deutschman",https://en.wikipedia.org/wiki/Project_Almanac,Project Almanac,"
Insurge Pictures
MTV Films
Platinum Dunes
",33200000,<type 'float'>,12000000,<type 'float'>,[2015-01-30 00:00:00],2015,1,30-Jan,"[[Jonny Weston, Sofia Black D'Elia, Sam Lerner, Allen Evangelista, Virginia Gardner, Amy Landecker], [Jonny Weston, Sofia Black D'Elia, Sam Lerner, Allen Evangelista, Virginia Gardner, Amy Landecker], [Jonny Weston, Sofia Black D'Elia, Sam Lerner, Allen Evangelista, Virginia Gardner, Amy Landecker], [Jonny Weston, Sofia Black D'Elia, Sam Lerner, Allen Evangelista, Virginia Gardner, Amy Landecker], [Jonny Weston, Sofia Black D'Elia, Sam Lerner, Allen Evangelista, Virginia Gardner, Amy Landecker], [Jonny Weston, Sofia Black D'Elia, Sam Lerner, Allen Evangelista, Virginia Gardner, Amy Landecker]]",[[Dean Israelite]]

92 minutes[1],"Heat
by William Goldman",$76.0Â million[3],$30Â million[2],Shelly Johnson,United States,Simon West,Lionsgate,Padraic McKinley,English,Dario Marianelli,,"


Jason Statham
Steve Chasman


",William Goldman,"


Jason Statham
Michael Angarano
Milo Ventimiglia
Dominik Garcia-Lorido
Anne Heche
Sofia Vergara
Max Casella
Jason Alexander
Hope Davis
Stanley Tucci


",,,https://en.wikipedia.org/wiki/Wild_Card_(2015_film),Wild Card,"



Current Entertainment
Quad Films
SJ Pictures
Sierra / Affinity



",76000000,<type 'float'>,30000000,<type 'float'>,"[2015-01-14 00:00:00, 2015-01-30 00:00:00]",2015,1,30-Jan,"[[, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ], [, , , Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci, , , ]]",[[Simon West]]

127 minutes[2],,$184Â million[3],$176 million[3],John Toll,"


United States
Australia


","


The Wachowskis


","


Warner Bros. Pictures
Roadshow Entertainment
(Australia & New Zealand)[1]


",Alexander Berner,English,Michael Giacchino,,"


Grant Hill
Lana Wachowski
Andy Wachowski


",,"


Channing Tatum
Mila Kunis
Sean Bean
Eddie Redmayne
Douglas Booth


",,The Wachowskis,https://en.wikipedia.org/wiki/Jupiter_Ascending,Jupiter Ascending,"



Village Roadshow Pictures
RatPac-Dune Entertainment
Anarchos Productions



",184000000,<type 'float'>,176000000,<type 'float'>,"[2015-01-27 00:00:00, 2015-02-06 00:00:00, 2015-02-19 00:00:00]",2015,2,19-Feb,"[[, , , Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth, , , ], [, , , Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth, , , ], [, , , Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth, , , ], [, , , Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth, , , ], [, , , Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth, , , ], [, , , Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth, , , ], [, , , Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth, , , ], [, , , Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth, , , ], [, , , Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth, , , ], [, , , Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth, , , ], [, , , Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth, , , ]]","[[, , , The Wachowskis, , , ], [, , , The Wachowskis, , , ], [, , , The Wachowskis, , , ], [, , , The Wachowskis, , , ], [, , , The Wachowskis, , , ], [, , , The Wachowskis, , , ], [, , , The Wachowskis, , , ]]"

102 minutes,"Where Rainbows End
by Cecelia Ahern","$25,574,387[1]",,,"United Kingdom
