0,director_name,movies,revenues,costs,gross_profit,return,count
John Wells,John Wells,"[https://en.wikipedia.org/wiki/The_Company_Men, https://en.wikipedia.org/wiki/August:_Osage_County_(film)]",79100000.0,52000000.0,-12450000.0,-0.239423076923,2
Kevin Smith,Kevin Smith,"[https://en.wikipedia.org/wiki/Cop_Out_(2010_film), https://en.wikipedia.org/wiki/Red_State_(2011_film), https://en.wikipedia.org/wiki/Tusk_(2014_film)]",59374460.0,37000000.0,-7312770.0,-0.197642432432,3
George Nolfi,George Nolfi,[https://en.wikipedia.org/wiki/The_Adjustment_Bureau],127900000.0,50200000.0,13750000.0,0.27390438247,1
Kenneth Branagh,Kenneth Branagh,"[https://en.wikipedia.org/wiki/Thor_(film), https://en.wikipedia.org/wiki/Thor_(film), https://en.wikipedia.org/wiki/Jack_Ryan:_Shadow_Recruit, https://en.wikipedia.org/wiki/Cinderella_(2015_film)]",1577600000.0,444210000.0,344590000.0,0.77573670111,4
Tim Hill,Tim Hill,"[https://en.wikipedia.org/wiki/Hop_(film), https://en.wikipedia.org/wiki/Muppets_from_Space]",206300000.0,87000000.0,16150000.0,0.185632183908,2
Justin Lin,Justin Lin,"[https://en.wikipedia.org/wiki/Fast_Five, https://en.wikipedia.org/wiki/Fast_%26_Furious_(2009_film), https://en.wikipedia.org/wiki/Fast_%26_Furious_6, https://en.wikipedia.org/wiki/Fast_Five, https://en.wikipedia.org/wiki/Fast_%26_Furious_6, https://en.wikipedia.org/wiki/Star_Trek_Beyond]",3536300000.0,840000000.0,928150000.0,1.10494047619,6
Derek Cianfrance,Derek Cianfrance,"[https://en.wikipedia.org/wiki/Blue_Valentine_(film), https://en.wikipedia.org/wiki/The_Place_Beyond_the_Pines, https://en.wikipedia.org/wiki/The_Light_Between_Oceans_(film)]",87700000.0,36000000.0,7850000.0,0.218055555556,3
Harmony Korine,Harmony Korine,[https://en.wikipedia.org/wiki/Spring_Breakers],31700000.0,5000000.0,10850000.0,2.17,1
Kirk Jones,Kirk Jones,"[https://en.wikipedia.org/wiki/Nanny_McPhee, https://en.wikipedia.org/wiki/What_to_Expect_When_You%27re_Expecting_(film), https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding_2]",295789822.0,83000000.0,64894911.0,0.78186639759,3
Tom Vaughan,Tom Vaughan,[https://en.wikipedia.org/wiki/Extraordinary_Measures],15134293.0,31000000.0,-23432853.5,-0.7558985,1
Burr Steers,Burr Steers,"[https://en.wikipedia.org/wiki/Charlie_St._Cloud_(film), https://en.wikipedia.org/wiki/Pride_and_Prejudice_and_Zombies_(film)]",64590704.0,72000000.0,-39704648.0,-0.551453444444,2
"Phil Lord
Christopher Miller","Phil Lord
Christopher Miller",[https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_(film)],243000000.0,100000000.0,21500000.0,0.215,1
Greg Berlanti,Greg Berlanti,[https://en.wikipedia.org/wiki/Life_as_We_Know_It_(film)],105648706.0,38000000.0,14824353.0,0.390114552632,1
Jim Kohlberg,Jim Kohlberg,[https://en.wikipedia.org/wiki/The_Music_Never_Stopped],0.0,0.0,0.0,,1
Michael Sucsy,Michael Sucsy,[https://en.wikipedia.org/wiki/The_Vow_(2012_film)],196114570.0,30000000.0,68057285.0,2.26857616667,1
Bille Woodruff,Bille Woodruff,"[https://en.wikipedia.org/wiki/Addicted_(2014_film), https://en.wikipedia.org/wiki/The_Perfect_Match_(2016_film)]",27900000.0,10000000.0,3950000.0,0.395,2
Park Chan-wook,Park Chan-wook,[https://en.wikipedia.org/wiki/Stoker_(film)],12100000.0,12000000.0,-5950000.0,-0.495833333333,1
Colin Trevorrow,Colin Trevorrow,"[https://en.wikipedia.org/wiki/Safety_Not_Guaranteed, https://en.wikipedia.org/wiki/Jurassic_World]",1674400000.0,130050000.0,707150000.0,5.43752402922,2
Rupert Sanders,Rupert Sanders,"[https://en.wikipedia.org/wiki/Snow_White_%26_the_Huntsman, https://en.wikipedia.org/wiki/Snow_White_and_the_Huntsman]",793200000.0,340000000.0,56600000.0,0.166470588235,2
Angel Gracia,Angel Gracia,[https://en.wikipedia.org/wiki/From_Prada_to_Nada],0.0,0.0,0.0,,1
Jared Hess,Jared Hess,[https://en.wikipedia.org/wiki/Masterminds_(2016_film)],29200000.0,25000000.0,-10400000.0,-0.416,1
Joss Whedon,Joss Whedon,"[https://en.wikipedia.org/wiki/The_Avengers_(2012_film), https://en.wikipedia.org/wiki/Much_Ado_About_Nothing_(2012_film), https://en.wikipedia.org/wiki/Avengers:_Age_of_Ultron, https://en.wikipedia.org/wiki/The_Avengers_(2012_film)]",4445000000.0,756000000.0,1466500000.0,1.93981481481,4
Paul Thomas Anderson,Paul Thomas Anderson,"[https://en.wikipedia.org/wiki/The_Master_(2012_film), https://en.wikipedia.org/wiki/Inherent_Vice_(film)]",43000000.0,52000000.0,-30500000.0,-0.586538461538,2
Paul Tibbitt[1],Paul Tibbitt[1],[https://en.wikipedia.org/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water],323400000.0,74000000.0,87700000.0,1.18513513514,1
Catherine Hardwicke,Catherine Hardwicke,"[https://en.wikipedia.org/wiki/Red_Riding_Hood_(2011_film), https://en.wikipedia.org/wiki/Plush_(film)]",89165242.0,44000000.0,582621.0,0.0132413863636,2
"


Jon Lucas
Scott Moore


","


Jon Lucas
Scott Moore


",[https://en.wikipedia.org/wiki/Bad_Moms],179400000.0,20000000.0,69700000.0,3.485,1
Jean-Marc Vallée,Jean-Marc Vallée,"[https://en.wikipedia.org/wiki/Dallas_Buyers_Club, https://en.wikipedia.org/wiki/Wild_(2014_film), https://en.wikipedia.org/wiki/Demolition_(2015_film)]",111800000.0,30000000.0,25900000.0,0.863333333333,3
Jimmy Hayward,Jimmy Hayward,"[https://en.wikipedia.org/wiki/Jonah_Hex_(film), https://en.wikipedia.org/wiki/Free_Birds]",121300000.0,102000000.0,-41350000.0,-0.405392156863,2
"Malika Zouhali-Worrall
Katherine Fairfax Wright","Malika Zouhali-Worrall
Katherine Fairfax Wright",[https://en.wikipedia.org/wiki/Call_Me_Kuchu],0.0,0.0,0.0,,1
Dave Green,Dave Green,"[https://en.wikipedia.org/wiki/Earth_to_Echo, https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows]",290900000.0,148000000.0,-2550000.0,-0.0172297297297,2
Dave Grohl,Dave Grohl,[https://en.wikipedia.org/wiki/Sound_City_(film)],0.0,0.0,0.0,,1
Lee Unkrich,Lee Unkrich,[https://en.wikipedia.org/wiki/Toy_Story_3],1067000000.0,200000000.0,333500000.0,1.6675,1
Tom Holland,Tom Holland,[https://en.wikipedia.org/wiki/Fright_Night],24900000.0,7000000.0,5450000.0,0.778571428571,1
Gus Van Sant,Gus Van Sant,[https://en.wikipedia.org/wiki/Restless_(2011_film)],163265.0,8000000.0,-7918367.5,-0.9897959375,1
Jerome Sable,Jerome Sable,[https://en.wikipedia.org/wiki/Stage_Fright_(2014_film)],0.0,0.0,0.0,,1
Neil Barsky,Neil Barsky,[https://en.wikipedia.org/wiki/Koch_(film)],0.0,0.0,0.0,,1
John Singleton,John Singleton,[https://en.wikipedia.org/wiki/Abduction_(2011_film)],82100000.0,35000000.0,6050000.0,0.172857142857,1
"Jon Lucas
Scott Moore","Jon Lucas
Scott Moore",[https://en.wikipedia.org/wiki/21_%26_Over_(film)],48100000.0,13000000.0,11050000.0,0.85,1
Stephen Frears,Stephen Frears,"[https://en.wikipedia.org/wiki/Philomena_(film), https://en.wikipedia.org/wiki/Florence_Foster_Jenkins_(film)]",144400000.0,41000000.0,31200000.0,0.760975609756,2
